
time,ax,ay,az,wx,wy,wz,
0.014507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.014716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.014875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.015030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.019740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.020207,-0.0063,0.1911,-0.0054,0.0000,0.0000,0.0000,
0.020778,-0.0063,0.1911,-0.0054,0.0000,0.0000,0.0000,
0.021821,-0.0063,0.1911,-0.0054,0.0000,0.0000,0.0000,
0.022355,-0.0063,0.1911,-0.0054,0.0000,0.0000,0.0000,
0.025372,-0.0063,0.1911,-0.0054,0.0000,0.0000,0.0000,
0.025806,0.0201,0.1456,-0.0389,0.0000,0.0000,0.0000,
0.026298,0.0201,0.1456,-0.0389,0.0000,0.0000,0.0000,
0.029409,0.0201,0.1456,-0.0389,0.0000,0.0000,0.0000,
0.030594,0.0201,0.1456,-0.0389,0.0000,0.0000,0.0000,
0.034048,0.0201,0.1456,-0.0389,0.0000,0.0000,0.0000,
0.034416,0.0478,0.1241,-0.0558,0.0000,0.0000,0.0000,
0.035053,0.0478,0.1241,-0.0558,-0.0153,-0.0171,0.0079,
0.035561,0.0478,0.1241,-0.0558,-0.0153,-0.0171,0.0079,
0.037506,0.0478,0.1241,-0.0558,-0.0153,-0.0171,0.0079,
0.038490,0.0478,0.1241,-0.0558,-0.0153,-0.0171,0.0079,
0.041516,0.0478,0.1241,-0.0558,-0.0153,-0.0171,0.0079,
0.042030,0.0359,0.1145,-0.0462,-0.0153,-0.0171,0.0079,
0.042524,0.0359,0.1145,-0.0462,-0.0153,-0.0171,0.0079,
0.045329,0.0359,0.1145,-0.0462,-0.0153,-0.0171,0.0079,
0.047013,0.0359,0.1145,-0.0462,-0.0153,-0.0171,0.0079,
0.049603,0.0359,0.1145,-0.0462,-0.0153,-0.0171,0.0079,
0.050204,0.0407,0.1143,-0.0001,-0.0153,-0.0171,0.0079,
0.050878,0.0407,0.1143,-0.0001,-0.0153,-0.0171,0.0079,
0.054430,0.0407,0.1143,-0.0001,-0.0153,-0.0171,0.0079,
0.055466,0.0407,0.1143,-0.0001,-0.0391,-0.0134,-0.0104,
0.056312,0.0407,0.1143,-0.0001,-0.0391,-0.0134,-0.0104,
0.058110,0.0407,0.1143,-0.0001,-0.0391,-0.0134,-0.0104,
0.058692,0.0380,0.0949,0.0399,-0.0391,-0.0134,-0.0104,
0.059300,0.0380,0.0949,0.0399,-0.0391,-0.0134,-0.0104,
0.062737,0.0380,0.0949,0.0399,-0.0391,-0.0134,-0.0104,
0.063667,0.0380,0.0949,0.0399,-0.0391,-0.0134,-0.0104,
0.066355,0.0380,0.0949,0.0399,-0.0391,-0.0134,-0.0104,
0.067024,0.0224,0.0871,0.0754,-0.0391,-0.0134,-0.0104,
0.067670,0.0224,0.0871,0.0754,-0.0391,-0.0134,-0.0104,
0.070596,0.0224,0.0871,0.0754,-0.0391,-0.0134,-0.0104,
0.071532,0.0224,0.0871,0.0754,-0.0391,-0.0134,-0.0104,
0.074752,0.0224,0.0871,0.0754,-0.0391,-0.0134,-0.0104,
0.075383,0.0066,0.0603,0.1075,-0.0391,-0.0134,-0.0104,
0.076020,0.0066,0.0603,0.1075,-0.0379,-0.0006,-0.0189,
0.076681,0.0066,0.0603,0.1075,-0.0379,-0.0006,-0.0189,
0.078363,0.0066,0.0603,0.1075,-0.0379,-0.0006,-0.0189,
0.079167,0.0066,0.0603,0.1075,-0.0379,-0.0006,-0.0189,
0.082206,0.0066,0.0603,0.1075,-0.0379,-0.0006,-0.0189,
0.082933,-0.0171,0.0480,0.1216,-0.0379,-0.0006,-0.0189,
0.083558,-0.0171,0.0480,0.1216,-0.0379,-0.0006,-0.0189,
0.086929,-0.0171,0.0480,0.1216,-0.0379,-0.0006,-0.0189,
0.087555,-0.0171,0.0480,0.1216,-0.0379,-0.0006,-0.0189,
0.090105,-0.0171,0.0480,0.1216,-0.0379,-0.0006,-0.0189,
0.090903,-0.0340,0.0452,0.1453,-0.0379,-0.0006,-0.0189,
0.091850,-0.0340,0.0452,0.1453,-0.0379,-0.0006,-0.0189,
0.095421,-0.0340,0.0452,0.1453,-0.0379,-0.0006,-0.0189,
0.096111,-0.0340,0.0452,0.1453,-0.0116,0.0006,-0.0257,
0.096681,-0.0340,0.0452,0.1453,-0.0116,0.0006,-0.0257,
0.098571,-0.0340,0.0452,0.1453,-0.0116,0.0006,-0.0257,
0.099063,-0.0568,0.0354,0.1432,-0.0116,0.0006,-0.0257,
0.099689,-0.0568,0.0354,0.1432,-0.0116,0.0006,-0.0257,
0.102760,-0.0568,0.0354,0.1432,-0.0116,0.0006,-0.0257,
0.103476,-0.0568,0.0354,0.1432,-0.0116,0.0006,-0.0257,
0.106833,-0.0568,0.0354,0.1432,-0.0116,0.0006,-0.0257,
0.107424,-0.0601,0.0688,0.1491,-0.0116,0.0006,-0.0257,
0.108012,-0.0601,0.0688,0.1491,-0.0116,0.0006,-0.0257,
0.111377,-0.0601,0.0688,0.1491,-0.0116,0.0006,-0.0257,
0.112126,-0.0601,0.0688,0.1491,-0.0116,0.0006,-0.0257,
0.115315,-0.0601,0.0688,0.1491,-0.0116,0.0006,-0.0257,
0.115942,-0.0752,0.0641,0.1165,-0.0116,0.0006,-0.0257,
0.116512,-0.0752,0.0641,0.1165,0.0092,-0.0134,-0.0208,
0.116992,-0.0752,0.0641,0.1165,0.0092,-0.0134,-0.0208,
0.119441,-0.0752,0.0641,0.1165,0.0092,-0.0134,-0.0208,
0.120075,-0.0752,0.0641,0.1165,0.0092,-0.0134,-0.0208,
0.123233,-0.0752,0.0641,0.1165,0.0092,-0.0134,-0.0208,
0.123629,-0.0829,0.0715,0.0624,0.0092,-0.0134,-0.0208,
0.124067,-0.0829,0.0715,0.0624,0.0092,-0.0134,-0.0208,
0.126761,-0.0829,0.0715,0.0624,0.0092,-0.0134,-0.0208,
0.128023,-0.0829,0.0715,0.0624,0.0092,-0.0134,-0.0208,
0.130937,-0.0829,0.0715,0.0624,0.0092,-0.0134,-0.0208,
0.131433,-0.0828,0.0695,0.0202,0.0092,-0.0134,-0.0208,
0.132122,-0.0828,0.0695,0.0202,0.0092,-0.0134,-0.0208,
0.135977,-0.0828,0.0695,0.0202,0.0092,-0.0134,-0.0208,
0.136586,-0.0828,0.0695,0.0202,0.0183,-0.0171,-0.0159,
0.137164,-0.0828,0.0695,0.0202,0.0183,-0.0171,-0.0159,
0.139340,-0.0828,0.0695,0.0202,0.0183,-0.0171,-0.0159,
0.139768,-0.0993,0.0820,-0.0077,0.0183,-0.0171,-0.0159,
0.140354,-0.0993,0.0820,-0.0077,0.0183,-0.0171,-0.0159,
0.143192,-0.0993,0.0820,-0.0077,0.0183,-0.0171,-0.0159,
0.145228,-0.0993,0.0820,-0.0077,0.0183,-0.0171,-0.0159,
0.147526,-0.0993,0.0820,-0.0077,0.0183,-0.0171,-0.0159,
0.148168,-0.0586,0.0628,-0.0388,0.0183,-0.0171,-0.0159,
0.148762,-0.0586,0.0628,-0.0388,0.0183,-0.0171,-0.0159,
0.151372,-0.0586,0.0628,-0.0388,0.0183,-0.0171,-0.0159,
0.152769,-0.0586,0.0628,-0.0388,0.0183,-0.0171,-0.0159,
0.155781,-0.0586,0.0628,-0.0388,0.0183,-0.0171,-0.0159,
0.156349,-0.0032,0.0873,-0.0699,0.0183,-0.0171,-0.0159,
0.156884,-0.0032,0.0873,-0.0699,0.0177,-0.0055,-0.0110,
0.157363,-0.0032,0.0873,-0.0699,0.0177,-0.0055,-0.0110,
0.159325,-0.0032,0.0873,-0.0699,0.0177,-0.0055,-0.0110,
0.161139,-0.0032,0.0873,-0.0699,0.0177,-0.0055,-0.0110,
0.163754,-0.0032,0.0873,-0.0699,0.0177,-0.0055,-0.0110,
0.164420,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.164990,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.167156,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.170323,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.171477,0.0251,0.0945,-0.0805,0.0177,-0.0055,-0.0110,
0.172000,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.172846,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.176242,0.0372,0.0993,-0.0918,0.0177,-0.0055,-0.0110,
0.176659,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.177192,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.179904,0.0372,0.0993,-0.0918,0.0024,-0.0092,-0.0159,
0.180597,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.181269,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.183769,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.184953,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.188180,0.0656,0.0968,-0.0887,0.0024,-0.0092,-0.0159,
0.188901,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.189522,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.192036,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.192941,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.197344,0.0751,0.1302,-0.0816,0.0024,-0.0092,-0.0159,
0.198200,0.0452,0.1445,-0.0685,0.0024,-0.0092,-0.0159,
0.198828,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.199453,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.200349,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.201105,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.204506,0.0452,0.1445,-0.0685,-0.0177,-0.0269,-0.0238,
0.205247,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
0.206002,-0.0602,0.3725,-0.1197,-0.0177,-0.0269,-0.0238,
