time,ax,ay,az,wx,wy,wz,
0.017843,0.0000,0.0000,0.0000,-0.0195,0.0031,0.0257,
0.031266,0.0000,0.0000,0.0000,-0.0195,0.0031,0.0257,
0.057842,0.0000,0.0000,0.0000,-0.0195,0.0031,0.0257,
0.058497,0.0000,0.0000,0.0000,-0.0195,0.0031,0.0257,
0.072141,0.0000,0.0000,0.0000,-0.0195,0.0031,0.0257,
0.097966,0.0000,0.0000,0.0000,-0.0226,0.0183,0.0018,
0.111859,0.0000,0.0000,0.0000,-0.0226,0.0183,0.0018,
0.112478,0.0009,0.0352,0.0074,-0.0226,0.0183,0.0018,
0.113183,0.0009,0.0352,0.0074,-0.0440,0.0140,0.0165,
0.137915,0.0009,0.0352,0.0074,-0.0519,0.0134,0.0202,
0.152790,0.0009,0.0352,0.0074,-0.0458,0.0202,0.0018,
0.178443,0.0009,0.0352,0.0074,-0.0458,0.0202,0.0018,
0.179098,0.0142,-0.1608,0.0969,-0.0458,0.0202,0.0018,
0.179780,0.0142,-0.1608,0.0969,-0.0232,0.0079,-0.0128,
0.191925,0.0142,-0.1608,0.0969,-0.0116,-0.0067,-0.0067,
0.218943,0.0142,-0.1608,0.0969,0.0043,-0.0092,-0.0018,
0.232102,0.0142,-0.1608,0.0969,0.0043,-0.0092,-0.0018,
0.232742,0.0810,0.1272,0.0202,0.0043,-0.0092,-0.0018,
0.233477,0.0810,0.1272,0.0202,0.0415,-0.0531,0.0849,
0.258974,0.0810,0.1272,0.0202,0.0397,-0.0116,0.0232,
0.272001,0.0810,0.1272,0.0202,0.0397,-0.0177,0.0257,
0.298328,0.0810,0.1272,0.0202,0.0397,-0.0177,0.0257,
0.298813,0.0150,-0.1037,0.0760,0.0397,-0.0177,0.0257,
0.299377,0.0150,-0.1037,0.0760,0.0635,-0.0202,0.0073,
0.311897,0.0150,-0.1037,0.0760,0.0929,-0.0489,0.0140,
0.338054,0.0150,-0.1037,0.0760,0.0709,-0.0195,0.0073,
0.352353,0.0150,-0.1037,0.0760,0.0709,-0.0195,0.0073,
0.353023,-0.0385,-0.0022,-0.1469,0.0709,-0.0195,0.0073,
0.353492,-0.0385,-0.0022,-0.1469,0.0544,-0.0018,-0.0006,
0.378218,-0.0385,-0.0022,-0.1469,0.0605,-0.0159,-0.0061,
0.392262,-0.0385,-0.0022,-0.1469,0.0672,-0.0397,-0.0153,
0.419077,-0.0385,-0.0022,-0.1469,0.0672,-0.0397,-0.0153,
0.419719,-0.0265,-0.0883,0.0556,0.0672,-0.0397,-0.0153,
0.420420,-0.0265,-0.0883,0.0556,0.0751,-0.0483,-0.0238,
0.431913,-0.0265,-0.0883,0.0556,0.0880,-0.0507,-0.0299,
0.459059,-0.0265,-0.0883,0.0556,0.0941,-0.0495,-0.0360,
0.472035,-0.0265,-0.0883,0.0556,0.0941,-0.0495,-0.0360,
0.472564,-0.0009,0.1306,-0.0737,0.0941,-0.0495,-0.0360,
0.473153,-0.0009,0.1306,-0.0737,0.0929,-0.0336,-0.0324,
0.497999,-0.0009,0.1306,-0.0737,0.0800,-0.0263,-0.0232,
0.511721,-0.0009,0.1306,-0.0737,0.0702,-0.0238,-0.0220,
0.538467,-0.0009,0.1306,-0.0737,0.0702,-0.0238,-0.0220,
0.539149,0.0004,-0.1890,0.1109,0.0702,-0.0238,-0.0220,
0.539962,0.0004,-0.1890,0.1109,0.0831,-0.0428,-0.0281,
0.552233,0.0004,-0.1890,0.1109,0.1100,-0.0635,-0.0348,
0.578334,0.0004,-0.1890,0.1109,0.1185,-0.0635,-0.0318,
0.591407,0.0004,-0.1890,0.1109,0.1185,-0.0635,-0.0318,
0.591972,-0.0119,0.0859,-0.0545,0.1185,-0.0635,-0.0318,
0.592521,-0.0119,0.0859,-0.0545,0.1045,-0.0660,-0.0269,
0.618958,-0.0119,0.0859,-0.0545,0.0788,-0.0696,-0.0263,
0.632260,-0.0119,0.0859,-0.0545,0.0611,-0.0623,-0.0312,
0.659451,-0.0119,0.0859,-0.0545,0.0611,-0.0623,-0.0312,
0.660361,0.0663,-0.1749,0.1124,0.0611,-0.0623,-0.0312,
0.661609,0.0663,-0.1749,0.1124,0.0696,-0.0550,-0.0367,
0.671878,0.0663,-0.1749,0.1124,0.0916,-0.0696,-0.0452,
0.699092,0.0663,-0.1749,0.1124,0.1026,-0.1179,-0.0495,
0.712510,0.0663,-0.1749,0.1124,0.1026,-0.1179,-0.0495,
0.713731,-0.1718,0.1209,-0.1437,0.1026,-0.1179,-0.0495,
0.714878,-0.1718,0.1209,-0.1437,0.0867,-0.1442,-0.0458,
0.738039,-0.1718,0.1209,-0.1437,0.0507,-0.1454,-0.0385,
0.752747,-0.1718,0.1209,-0.1437,0.0232,-0.1387,-0.0330,
0.778822,-0.1718,0.1209,-0.1437,0.0232,-0.1387,-0.0330,
0.779778,-0.0250,-0.1572,0.1124,0.0232,-0.1387,-0.0330,
0.780781,-0.0250,-0.1572,0.1124,0.0183,-0.1423,-0.0330,
0.792290,-0.0250,-0.1572,0.1124,0.0470,-0.1429,-0.0415,
0.819979,-0.0250,-0.1572,0.1124,0.0819,-0.1442,-0.0458,
0.832865,-0.0250,-0.1572,0.1124,0.0819,-0.1442,-0.0458,
0.833766,0.2980,0.1314,-0.1174,0.0819,-0.1442,-0.0458,
0.834681,0.2980,0.1314,-0.1174,0.0739,-0.1289,-0.0525,
0.859232,0.2980,0.1314,-0.1174,0.0525,-0.1289,-0.0623,
0.872299,0.2980,0.1314,-0.1174,0.0336,-0.1411,-0.0593,
0.898916,0.2980,0.1314,-0.1174,0.0336,-0.1411,-0.0593,
0.899769,-0.1020,-0.0932,-0.0999,0.0336,-0.1411,-0.0593,
0.900763,-0.1020,-0.0932,-0.0999,0.0018,-0.1081,-0.0446,
0.912613,-0.1020,-0.0932,-0.0999,0.0250,-0.0519,-0.0257,
0.938004,-0.1020,-0.0932,-0.0999,0.0696,-0.0305,-0.0140,
0.952063,-0.1020,-0.0932,-0.0999,0.0696,-0.0305,-0.0140,
0.952774,-0.0465,0.0444,0.0652,0.0696,-0.0305,-0.0140,
0.953556,-0.0465,0.0444,0.0652,0.0831,-0.0580,-0.0086,
0.977686,-0.0465,0.0444,0.0652,0.0641,-0.0819,-0.0110,
0.991244,-0.0465,0.0444,0.0652,0.0623,-0.0886,-0.0220,
1.017956,-0.0465,0.0444,0.0652,0.0623,-0.0886,-0.0220,
1.019130,0.0910,-0.0321,-0.0468,0.0623,-0.0886,-0.0220,
1.019872,0.0910,-0.0321,-0.0468,0.0727,-0.0959,-0.0330,
1.031367,0.0910,-0.0321,-0.0468,0.0727,-0.1057,-0.0458,
1.057520,0.0910,-0.0321,-0.0468,0.0305,-0.0996,-0.0421,
1.071780,0.0910,-0.0321,-0.0468,0.0305,-0.0996,-0.0421,
1.072741,0.0571,0.0888,-0.2332,0.0305,-0.0996,-0.0421,
1.074071,0.0571,0.0888,-0.2332,-0.0263,-0.0696,-0.0305,
1.097884,0.0571,0.0888,-0.2332,-0.0660,-0.0208,-0.0153,
1.111208,0.0571,0.0888,-0.2332,-0.0470,0.0043,-0.0043,
1.137844,0.0571,0.0888,-0.2332,-0.0470,0.0043,-0.0043,
1.138611,0.0571,0.0888,-0.2332,-0.0147,0.0244,0.0098,
1.139198,-0.1392,-0.1889,0.1894,-0.0147,0.0244,0.0098,
1.152192,-0.1392,-0.1889,0.1894,0.0000,0.0415,0.0238,
1.178198,-0.1392,-0.1889,0.1894,0.0079,0.0562,0.0379,
1.192031,-0.1392,-0.1889,0.1894,0.0079,0.0562,0.0379,
1.193154,0.1681,0.0774,-0.0443,0.0079,0.0562,0.0379,
1.194235,0.1681,0.0774,-0.0443,0.0189,0.0648,0.0397,
1.218376,0.1681,0.0774,-0.0443,0.0134,0.0635,0.0330,
1.232068,0.1681,0.0774,-0.0443,-0.0037,0.0764,0.0281,
1.259669,0.1681,0.0774,-0.0443,-0.0037,0.0764,0.0281,
1.260745,0.0214,-0.0319,-0.1137,-0.0037,0.0764,0.0281,
1.261947,0.0214,-0.0319,-0.1137,-0.0257,0.0983,0.0238,
1.272200,0.0214,-0.0319,-0.1137,-0.0391,0.1038,0.0312,
1.299106,0.0214,-0.0319,-0.1137,-0.0391,0.0977,0.0385,
1.312210,0.0214,-0.0319,-0.1137,-0.0391,0.0977,0.0385,
1.313518,0.0197,-0.0401,0.0138,-0.0391,0.0977,0.0385,
1.314746,0.0197,-0.0401,0.0138,-0.0324,0.0867,0.0470,
1.338550,0.0197,-0.0401,0.0138,-0.0250,0.0855,0.0440,
1.352619,0.0197,-0.0401,0.0138,-0.0037,0.0971,0.0409,
1.379599,0.0197,-0.0401,0.0138,-0.0037,0.0971,0.0409,
1.380583,0.0053,0.0719,-0.0995,-0.0037,0.0971,0.0409,
1.381716,0.0053,0.0719,-0.0995,-0.0037,0.1087,0.0458,
1.392233,0.0053,0.0719,-0.0995,-0.0373,0.1203,0.0501,
1.419338,0.0053,0.0719,-0.0995,-0.0452,0.1093,0.0483,
1.432540,0.0053,0.0719,-0.0995,-0.0452,0.1093,0.0483,
1.433800,0.0079,-0.0251,-0.1605,-0.0452,0.1093,0.0483,
1.434683,0.0079,-0.0251,-0.1605,-0.0574,0.0935,0.0458,
1.462012,0.0079,-0.0251,-0.1605,-0.0977,0.0886,0.0385,
1.472037,0.0079,-0.0251,-0.1605,-0.0776,0.1038,0.0299,
1.497555,0.0079,-0.0251,-0.1605,-0.0776,0.1038,0.0299,
1.498179,0.0312,-0.0021,0.2039,-0.0776,0.1038,0.0299,
1.498790,0.0312,-0.0021,0.2039,-0.0269,0.0977,0.0257,
1.511148,0.0312,-0.0021,0.2039,-0.0354,0.0709,0.0269,
1.537576,0.0312,-0.0021,0.2039,-0.0831,0.0464,0.0238,
1.552395,0.0312,-0.0021,0.2039,-0.0831,0.0464,0.0238,
1.553256,-0.0375,-0.1157,0.0923,-0.0831,0.0464,0.0238,
1.554165,-0.0375,-0.1157,0.0923,-0.0898,0.0464,0.0177,
1.578325,-0.0375,-0.1157,0.0923,-0.0446,0.0476,0.0147,
1.592292,-0.0375,-0.1157,0.0923,-0.0055,0.0476,0.0159,
1.620029,-0.0375,-0.1157,0.0923,-0.0055,0.0476,0.0159,
1.621337,-0.0196,0.0186,-0.0806,-0.0055,0.0476,0.0159,
1.622384,-0.0196,0.0186,-0.0806,0.0079,0.0397,0.0153,
1.632047,-0.0196,0.0186,-0.0806,-0.0202,0.0202,0.0110,
1.659222,-0.0196,0.0186,-0.0806,-0.0440,0.0043,0.0098,
1.672092,-0.0196,0.0186,-0.0806,-0.0440,0.0043,0.0098,
1.673910,-0.0630,0.0422,0.0305,-0.0440,0.0043,0.0098,
1.674977,-0.0630,0.0422,0.0305,-0.0470,0.0000,0.0079,
