time,acc_x,acc_y,acc_z,yaw,pitch,roll,Unnamed: 7,velocity_x,velocity_y,velocity_z,velocity_magnitude
0.017843,0.0,0.0,0.0,-0.0195,0.0031,0.0257,,0.0,0.0,0.0,0.0
0.031266,0.0,0.0,0.0,-0.0195,0.0031,0.0257,,0.0,0.0,0.0,0.0
0.057842,0.0,0.0,0.0,-0.0195,0.0031,0.0257,,0.0,0.0,0.0,0.0
0.058497,0.0,0.0,0.0,-0.0195,0.0031,0.0257,,0.0,0.0,0.0,0.0
0.072141,0.0,0.0,0.0,-0.0195,0.0031,0.0257,,0.0,0.0,0.0,0.0
0.097966,0.0,0.0,0.0,-0.0226,0.0183,0.0018,,0.0,0.0,0.0,0.0
0.111859,0.0,0.0,0.0,-0.0226,0.0183,0.0018,,0.0,0.0,0.0,0.0
0.112478,0.0009,0.0352,0.0074,-0.0226,0.0183,0.0018,,0.0,0.0,0.0,0.0
0.113183,0.0009,0.0352,0.0074,-0.044,0.014,0.0165,,0.0,0.0,0.0,0.0
0.137915,0.0009,0.0352,0.0074,-0.0519,0.0134,0.0202,,5.224550675675672e-06,0.00020433798198198186,4.295741666666664e-05,0.0002088699271242872
0.15279,0.0009,0.0352,0.0074,-0.0458,0.0202,0.0018,,1.567365202702704e-05,0.0006130139459459465,0.00012887225000000012,0.0006266097813728627
0.178443,0.0009,0.0352,0.0074,-0.0458,0.0202,0.0018,,2.6122753378378384e-05,0.0010216899099099101,0.0002147870833333334,0.001044349635621437
0.179098,0.0142,-0.1608,0.0969,-0.0458,0.0202,0.0018,,3.657185472972973e-05,0.0014303658738738737,0.0003007019166666667,0.0014620894898700113
0.17978,0.0142,-0.1608,0.0969,-0.0232,0.0079,-0.0128,,4.702095608108107e-05,0.0018390418378378373,0.00038661674999999993,0.0018798293441185856
0.191925,0.0142,-0.1608,0.0969,-0.0116,-0.0067,-0.0067,,0.00013467730630630645,0.001109926765765764,0.0009920841227477489,0.001494759615726001
0.218943,0.0142,-0.1608,0.0969,0.0043,-0.0092,-0.0018,,0.00029954090540540543,-0.0007569793423423429,0.0021171040349099103,0.002268231022928652
0.232102,0.0142,-0.1608,0.0969,0.0043,-0.0092,-0.0018,,0.00046440450450450444,-0.00262388545045045,0.0032421239470720718,0.0041966431929659955
0.232742,0.081,0.1272,0.0202,0.0043,-0.0092,-0.0018,,0.0006292681036036034,-0.004490791558558556,0.004367143859234233,0.006295643942908535
0.233477,0.081,0.1272,0.0202,0.0415,-0.0531,0.0849,,0.0007941317027027025,-0.0063576976666666635,0.005492163771396394,0.008438887822089788
0.258974,0.081,0.1272,0.0202,0.0397,-0.0116,0.0232,,0.0013467730630630638,-0.006552747558558556,0.006171935864864864,0.009101927849065414
0.272001,0.081,0.1272,0.0202,0.0397,-0.0177,0.0257,,0.002287192184684687,-0.005075941234234229,0.0064064601396396385,0.008487588528190652
0.298328,0.081,0.1272,0.0202,0.0397,-0.0177,0.0257,,0.003227611306306306,-0.003599134909909909,0.0066409844144144125,0.008214251081919985
0.298813,0.015,-0.1037,0.076,0.0397,-0.0177,0.0257,,0.004168030427927929,-0.0021223285855855823,0.006875508689189187,0.00831561038099085
0.299377,0.015,-0.1037,0.076,0.0635,-0.0202,0.0073,,0.0051084495495495475,-0.0006455222612612623,0.007110032963963961,0.008778697200537844
0.311897,0.015,-0.1037,0.076,0.0929,-0.0489,0.014,,0.0060488686711711705,0.0008312840630630646,0.007344557238738736,0.009551040070468152
0.338054,0.015,-0.1037,0.076,0.0709,-0.0195,0.0073,,0.006606154076576577,0.0009677028862612631,0.007903003655405404,0.010345781137106026
0.352353,0.015,-0.1037,0.076,0.0709,-0.0195,0.0073,,0.006780305765765765,-0.0002362657916666611,0.00878537221396396,0.011100051024183556
0.353023,-0.0385,-0.0022,-0.1469,0.0709,-0.0195,0.0073,,0.006954457454954955,-0.0014402344695945912,0.009667740772522521,0.01199599789366776
0.353492,-0.0385,-0.0022,-0.1469,0.0544,-0.0018,-0.0006,,0.007128609144144144,-0.0026442031475225215,0.010550109331081081,0.01300437178463872
0.378218,-0.0385,-0.0022,-0.1469,0.0605,-0.0159,-0.0061,,0.006992190320945946,-0.0032589586103603575,0.010138530838963966,0.012739754482759684
